Category,Marks,Question,Answer
A,100,A1,A11
A,100,A2,A12
A,100,A3,A13
A,200,A4,A14
A,200,A5,A15
A,200,A6,A16
A,300,A7,A17
A,300,A8,A18
A,300,A9,A19
A,400,A10,A20
A,400,A11,A21
A,400,A12,A22
A,500,A13,A23
A,500,A14,A24
A,500,A15,A25
A,500,A16,A26
A,500,A17,A27
A,500,A18,A28
A,500,A19,A29
A,500,A20,A30
A,500,A21,A31
A,500,A22,A32
A,500,A23,A33
A,500,A24,A34
A,500,A25,A35
A,500,A26,A36
A,500,A27,A37
A,500,A28,A38
A,500,A29,A39
B,100,B1,B11
B,100,B2,B12
B,100,B3,B13
B,100,B4,B14
B,200,B5,B15
B,200,B6,B16
B,200,B7,B17
B,300,B8,B18
B,300,B9,B19
B,300,B10,B20
B,400,B11,B21
B,400,B12,B22
B,400,B13,B23
B,500,B14,B24
B,500,B15,B25
B,500,B16,B26
B,500,B17,B27
B,500,B18,B28
B,500,B19,B29
B,500,B20,B30
B,500,B21,B31
C,100,C1,C11
C,100,C2,C12
C,100,C3,C13
C,100,C4,C14
C,200,C5,C15
C,200,C6,C16
C,200,C7,C17
C,300,C8,C18
C,300,C9,C19
C,300,C10,C20
C,400,C11,C21
C,400,C12,C22
C,400,C13,C23
C,500,C14,C24
C,500,C15,C25
C,500,C16,C26
C,500,C17,C27
C,500,C18,C28
C,500,C19,C29
C,500,C20,C30
C,500,C21,C31
